Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Orange HRM_All_001,Chrome 120.0.0.0,,,27-01-2024 21:18:06,27-01-2024 21:22:05,3m - 59.212s,PASSED
,,,,,,,
Test Cases/TC_Orange HRM_login_001,Chrome 120.0.0.0,,,27-01-2024 21:18:06,27-01-2024 21:18:39,32.851s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,27-01-2024 21:18:07,27-01-2024 21:18:13,5.531s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,27-01-2024 21:18:13,27-01-2024 21:18:32,19.418s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM_001_OR/Page_OrangeHRM/input_username""), ""admin"")",Chrome 120.0.0.0,,,27-01-2024 21:18:32,27-01-2024 21:18:35,2.584s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Orange HRM_001_OR/Page_OrangeHRM/input_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,27-01-2024 21:18:35,27-01-2024 21:18:36,0.872s,PASSED
"click(findTestObject(""Object Repository/Orange HRM_001_OR/Page_OrangeHRM/button_Login""))",Chrome 120.0.0.0,,,27-01-2024 21:18:36,27-01-2024 21:18:38,2.459s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,27-01-2024 21:18:38,27-01-2024 21:18:39,0.983s,PASSED
,,,,,,,
Test Cases/TC_Orange HRM_Add_002,Chrome 120.0.0.0,,,27-01-2024 21:18:39,27-01-2024 21:20:02,1m - 22.549s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,27-01-2024 21:18:40,27-01-2024 21:18:42,2.679s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,27-01-2024 21:18:42,27-01-2024 21:19:06,23.206s,PASSED
"setText(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/input_username""), ""admin"")",Chrome 120.0.0.0,,,27-01-2024 21:19:06,27-01-2024 21:19:08,2.495s,PASSED
"setEncryptedText(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/input_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,27-01-2024 21:19:08,27-01-2024 21:19:09,0.644s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/button_Login""))",Chrome 120.0.0.0,,,27-01-2024 21:19:09,27-01-2024 21:19:11,2.201s,PASSED
"setText(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/input_oxd-input oxd-input--focus""), ""admin"")",Chrome 120.0.0.0,,,27-01-2024 21:19:11,27-01-2024 21:19:14,3.159s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/span_Admin""))",Chrome 120.0.0.0,,,27-01-2024 21:19:14,27-01-2024 21:19:16,1.573s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/button_Add""))",Chrome 120.0.0.0,,,27-01-2024 21:19:16,27-01-2024 21:19:17,1.753s,PASSED
