Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Orange HRM_adduser_002,Chrome 120.0.0.0,,,27-01-2024 22:31:25,27-01-2024 22:32:41,1m - 15.813s,PASSED
,,,,,,,
Test Cases/TC_Orange HRM_Excel_Adduser_002,Chrome 120.0.0.0,,,27-01-2024 22:31:26,27-01-2024 22:32:41,1m - 14.851s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,27-01-2024 22:31:27,27-01-2024 22:31:34,6.253s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,27-01-2024 22:31:34,27-01-2024 22:31:43,9.649s,PASSED
"setText(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/input_username""), ""admin"")",Chrome 120.0.0.0,,,27-01-2024 22:31:43,27-01-2024 22:31:45,2.022s,PASSED
"setEncryptedText(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/input_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,27-01-2024 22:31:45,27-01-2024 22:31:46,0.838s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/button_Login""))",Chrome 120.0.0.0,,,27-01-2024 22:31:46,27-01-2024 22:31:48,2.262s,PASSED
"setText(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/input_oxd-input oxd-input--focus""), search)",Chrome 120.0.0.0,,,27-01-2024 22:31:48,27-01-2024 22:31:52,3.064s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/span_Admin""))",Chrome 120.0.0.0,,,27-01-2024 22:31:52,27-01-2024 22:31:53,1.722s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/button_Add""))",Chrome 120.0.0.0,,,27-01-2024 22:31:53,27-01-2024 22:31:56,2.642s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/div_-- Select --""))",Chrome 120.0.0.0,,,27-01-2024 22:31:56,27-01-2024 22:31:57,1.217s,PASSED
"click(findTestObject(""Orange HRM_002_OR/Page_OrangeHRM/div_ESS""))",Chrome 120.0.0.0,,,27-01-2024 22:31:57,27-01-2024 22:31:58,0.512s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/input""))",Chrome 120.0.0.0,,,27-01-2024 22:31:58,27-01-2024 22:31:58,0.722s,PASSED
"click(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/div_-- Select --""))",Chrome 120.0.0.0,,,27-01-2024 22:31:58,27-01-2024 22:31:59,0.537s,PASSED
"click(findTestObject(""Orange HRM_002_OR/Page_OrangeHRM/div_Enabled""))",Chrome 120.0.0.0,,,27-01-2024 22:31:59,27-01-2024 22:32:31,31.826s,PASSED
"setText(findTestObject(""Object Repository/002_OR/Page_OrangeHRM/input_oxd-input oxd-input--focus_1""), username)",Chrome 120.0.0.0,,,27-01-2024 22:32:31,27-01-2024 22:32:32,0.929s,PASSED
delay(3),Chrome 120.0.0.0,,,27-01-2024 22:32:32,27-01-2024 22:32:35,3.115s,PASSED
"setText(findTestObject(""Orange HRM_002_OR/Page_OrangeHRM/input_Password_oxd-input oxd-input--active""), password)",Chrome 120.0.0.0,,,27-01-2024 22:32:35,27-01-2024 22:32:36,0.917s,PASSED
delay(3),Chrome 120.0.0.0,,,27-01-2024 22:32:36,27-01-2024 22:32:39,3.026s,PASSED
"setText(findTestObject(""Orange HRM_002_OR/Page_OrangeHRM/input_Confirm Password_oxd-input oxd-input--active""), confirm_password)",Chrome 120.0.0.0,,,27-01-2024 22:32:39,27-01-2024 22:32:40,0.945s,PASSED
"click(findTestObject(""Orange HRM_002_OR/Page_OrangeHRM/button_Save""))",Chrome 120.0.0.0,,,27-01-2024 22:32:40,27-01-2024 22:32:40,0.595s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,27-01-2024 22:32:40,27-01-2024 22:32:41,0.637s,PASSED
